dataset,comparison,feature_set_a,feature_set_b,n_seeds,mean_f1_a,mean_f1_b,delta_f1,wilcoxon_statistic,wilcoxon_p,significant_p005,significant_p001,split,notes
r6.2,Full-CIPHER vs Legacy,Legacy-Only,Full-CIPHER,10,0.9324,0.9334,+0.0010,0.0,0.0020,TRUE,TRUE,time_75pct,All 10 seeds show consistent improvement — p=2*(1/2)^10
r6.2,+BDM vs Legacy,Legacy-Only,+BDM,10,0.9324,0.9319,-0.0005,55.0,0.0020,TRUE,TRUE,time_75pct,Direction: BDM alone slightly lowers but statistically significant temporal shift
r6.2,+BDM+PSE vs Legacy,Legacy-Only,+BDM+PSE,10,0.9324,0.9334,+0.0010,0.0,0.0020,TRUE,TRUE,time_75pct,PSE restores and exceeds legacy performance
