dataset,comparison,feature_set_a,feature_set_b,n_seeds,mean_f1_a,mean_f1_b,delta_f1,wilcoxon_statistic,wilcoxon_p,significant_p005,significant_p001,split,notes
r5.2,Full-CIPHER vs Legacy,Legacy-Only,Full-CIPHER,10,0.8259,0.8216,-0.0043,55.0,0.0020,TRUE,TRUE,time_75pct,All 10 seeds consistent — p=2*(1/2)^10
r5.2,+BDM vs Legacy,Legacy-Only,+BDM,10,0.8259,0.8251,-0.0008,55.0,0.0020,TRUE,TRUE,time_75pct,
r5.2,+BDM+PSE vs Legacy,Legacy-Only,+BDM+PSE,10,0.8259,0.8216,-0.0043,55.0,0.0020,TRUE,TRUE,time_75pct,Temporal split reveals significant difference in feature utility
