Sigma,Epsilon,F1,AUC
8.0,1.282,0.7066,0.7975
4.0,1.289,0.7185,0.8808
2.0,1.319,0.7446,0.9281
1.2,1.389,0.7539,0.9483
0.8,1.525,0.7653,0.9534
No-DP,inf,0.7950,0.9746
