dataset,config,aggregation,n_clients,n_byzantine,attack_type,attack_scale,f1,auc,recall,fpr,f1_drop_pct,attack_mitigated_pct,seed,notes
r5.2,Clean,FedAvg,10,0,None,0.0,0.7684,0.9467,0.6808,0.0055,0.00,,42,Baseline from E1 checkpoint
r5.2,FedAvg+Attack,FedAvg,10,3,sign_flip_scale,2.0,0.4001,0.7636,0.5203,0.0482,47.93,,42,FedAvg loses ~48% F1 under attack
r5.2,Krum+Attack,MultiKrum,10,3,sign_flip_scale,2.0,0.7508,0.9286,0.6624,0.0059,2.29,95.2,42,Krum maintains 95.2% mitigation
